AR_id,Numero_notice,ISBN
484,0003506187,9782923543048
485,0003597807,9782923543062
486,0006412611,9782897463977
487,0006341494,2897463627
489,0006449390,2897464062
490,0006576654,2897464240
491,0006389998,9782897464004
496,0006456891,2897464100
497,0006328399,2897463015
498,0006324307,2897463341
502,0004861666,9782365407632
504,0006456896,9782897464356
506,0006350411,2897463902
508,0004484442,9782924146323
509,0004484442,9782924146392
510,0006287926,9782897462789
511,0006287926,9782897463953
512,0006287926,9782897464295
513,0006603257,9782897464219
518,0007188247,9782898600920
520,0004484443,9782924146316
521,0006506896,2897463910
522,0004301221,9782923830100
523,0006662339,2925085199
524,0004987675,9782923830230
525,0006461648,2925085164
526,0004818076,9782923830223
527,0005727196,9782923830667
528,0005883547,9782923830698
529,0005182679,9782923830346
530,0005515303,9782923830544
532,0006353372,2925085075
533,0005366487,9782923830469
534,0005629770,9782923830636
535,0005619713,9782923830605
536,0006324082,2923830989
537,0006210112,9782923830896
538,0003801420,9782923639086
539,0000558623,2922132277
540,0000558326,2922132242
541,0004987648,9782924328118
542,0005883496,9782924328347
543,0005056684,9782924328132
544,0005071179,9782924328156
545,0000607945,2922132455
546,0003127460,2-922132-79-X
547,0000592007,2922132412
548,0000625782,2922132641
549,0000569311,2922132285
550,0000581709,2922132323
551,0000562360,2921493519
552,0000557358,2921493462
553,0000590452,2921493624
554,0000615452,9782921493673
555,0000556379,2921493470
556,0000580783,2-921493-56-X
557,0000590451,2921493616
558,0000590450,2921493632
559,0000567534,2921493489
560,0000628494,2921493721
561,0000604507,2921493713
562,0000567743,2921493543
563,0000570387,2921493535
564,0000615458,2921493683
565,0003551635,9782922050882
566,0003551635,9782922050899
567,0003551635,9782922050905
568,0000604505,2921493659
569,0000578502,2921493586
570,0000556380,2921493497
571,0000581405,2921493551
572,0000590448,2921493608
573,0000604511,2921493667
574,0003100542,2923300181
575,0002662130,2921493969
576,0003040306,2923300106
577,0003142918,2-923300-22-X
578,0002975821,2923300092
579,0002926637,2923300084
580,0002627776,2921493942
581,0003171578,2923300254
582,0002521485,2921493756
583,0002521485,2921493926
584,0002521485,2923300246
585,0002622598,2921493934
586,0002618597,2921493861
587,0003190153,2923300300
588,0002555928,2921493802
589,0003190142,2923300327
590,0002906372,2923300017
591,0002607865,2921493845
592,0002544877,2921493780
593,0003040312,2923300149
594,0003188794,2923300297
595,0003188798,2923300319
596,0002618602,2-921493-87-X
597,0004671131,9782923196213
598,0004087511,9782923196091
599,0004579323,9782923196190
600,0004447269,9782923196152
601,0004557634,9782923196176
602,0003575376,9782923196022
604,0000588770,2920718746
605,0000622070,2980782106
606,0005295589,9782921265294
607,0002922320,2923364007
608,0002927628,2923364015
